post url,post title,post price,post location
https://newyork.craigslist.org/brk/apa/d/brooklyn-cute-2bed-2bath-officeshared/7694845512.html,Cute 2Bed/2Bath w/Office+Shared Backyard,"$3,600",Bushwick
https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-bed-in-private/7694842370.html,Newly renovated 3 bed in private home// washer/ dryer in unit,"$3,400",Bedstuy
https://newyork.craigslist.org/que/apa/d/ridgewood-massive-bed-bathridgewood/7694841741.html,Massive 4 bed 2 bath....Ridgewood..,"$3,600",ridgewood
https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-1br-can-be/7694841216.html,"Newly renovated 1br (can be converted ro 2br), Well lit, W/D in unit, Dishwasher","$2,800",Brooklyn
https://newyork.craigslist.org/que/apa/d/maspeth-newly-renovated-bed-w-in-unit/7694840189.html,Newly renovated 1 bed w/ w/d in unit -- stabilized lease,"$2,450",Maspeth Grand Ave
https://newyork.craigslist.org/mnh/apa/d/new-york-very-low-security-depositno/7694840096.html,"Very Low security deposit*No Fee, Above the stars high floor*Surreal v","$14,995",Financial District
https://newyork.craigslist.org/que/apa/d/ridgewood-bed-bath-over-1000-sqft-tons/7694839588.html,2 bed 2 bath over 1000 sqft! Tons of natural light,"$3,000",Ridgewood freshpond/Madison
https://newyork.craigslist.org/mnh/apa/d/new-york-it-takes-to-flex-room-this/7694839354.html,It Takes 2 To Flex A Room This Right ! Great Share !,"$2,600",Financial District
https://newyork.craigslist.org/brk/apa/d/brooklyn-two-seperated-bedrmliving/7694838985.html,Two Seperated BedRm+Living Rm+kitchen convenient transportation,"$1,800","Midwood, Brooklyn College"
https://newyork.craigslist.org/brk/apa/d/brooklyn-renewvated-bedrm/7694838871.html,Renewvated 1 BedRm,"$1,550","Midwood, Brooklyn College"
https://newyork.craigslist.org/brk/apa/d/brooklyn-1000-sqft-bed-bath-duplex-with/7694838598.html,1000+ sqft 2 bed 2 bath duplex with private yard and storage,"$3,900",Bushwick
https://newyork.craigslist.org/que/apa/d/forest-hills-bedroom-apt-for-rent/7694836792.html,1  bedroom apt for rent,"$1,300",forest hills
https://newyork.craigslist.org/mnh/apa/d/new-york-awesome-best-deal-on-ues-dm/7694836959.html,“AWESOME” BEST DEAL ON UES-DM/ELEV/LNDRY-SS KIT-DW-PRETTY OPEN VIEW-AC,"$4,300",Upper East Side
https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-triplex-unitwasher/7694835811.html,Amazing Triplex Unit🔹️Washer Dryer🔹️ Spacious Bedrooms 🔹️ NO Fee,"$4,200","Williamsburg @ L,G, Subway Lines"
https://newyork.craigslist.org/mnh/apa/d/new-york-lets-talk-about-flex-baby/7694833885.html,Let's Talk About FLEX Baby ! Amazing Space !,"$2,650",Financial District
